scientific_name,datetime,description,place_guess,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,uncertainty,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated,OccurrenceID,GUID,Herbarium,Accession,Family,Specimen.Notes,Phenology,Collector,Day.Collected,Month.Collected,Year.Collected,State.or.Province,County,Locality,Site.Description,Verbatim.Coordinates,Valid.LatLng,Original.Geodetic.Datum,Georeferenced.By,Georeference.Sources,Georeference.Remarks,was_wgs84,FID,geometry
Androsace nivalis,2024-08-22 14:49:40 -0700,Wow! I would love to see this in bloom!,"Okanogan - Wenatchee National Forest, Cle Elum, WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/237790858,https://static.inaturalist.org/photos/423249644/medium.jpeg,true_islander,237790858,snow dwarf primrose,Plantae,1414075,0,0,2024-08-22 14:49:40-07:00,2024-08-22,2024-08-22 21:49:40 UTC,Pacific Time (US & Canada),9,9,,,false,,,256715,Kathryn True,2024-08-25 04:25:02 UTC,2025-01-14 20:15:12 UTC,research,,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.844095, 47.40815)"
Androsace nivalis,2024-08-22 15:14:31 -0700,,"Okanogan - Wenatchee National Forest, Cle Elum, WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/237784553,https://static.inaturalist.org/photos/423236793/medium.jpeg,true_islander,237784553,snow dwarf primrose,Plantae,1414075,2,0,2024-08-22 15:14:31-07:00,2024-08-22,2024-08-22 22:14:31 UTC,Pacific Time (US & Canada),5,5,,,false,,,256715,Kathryn True,2024-08-25 03:23:55 UTC,2024-08-30 04:57:18 UTC,research,,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.8456416667, 47.40593)"
Androsace nivalis,2024-07-15 10:21:00 -0700,,"Kittitas County, WA, USA",,snow dwarf primrose,https://www.inaturalist.org/observations/232396417,https://inaturalist-open-data.s3.amazonaws.com/photos/412861883/medium.jpg,paintedbunting123,232396417,snow dwarf primrose,Plantae,1414075,0,0,2024/07/15 10:21 AM,2024-07-15,2024-07-15 17:21:00 UTC,Pacific Time (US & Canada),4,4,,,false,,,7732415,,2024-07-29 00:34:57 UTC,2025-01-14 20:16:15 UTC,research,CC-BY-NC,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9338222222, 47.4495694444)"
Androsace nivalis,2024-07-15 10:17:00 -0700,,"Kittitas County, WA, USA",,snow dwarf primrose,https://www.inaturalist.org/observations/232396416,https://inaturalist-open-data.s3.amazonaws.com/photos/412861450/medium.jpg,paintedbunting123,232396416,snow dwarf primrose,Plantae,1414075,0,0,2024/07/15 10:17 AM,2024-07-15,2024-07-15 17:17:00 UTC,Pacific Time (US & Canada),4,4,,,false,,,7732415,,2024-07-29 00:34:57 UTC,2024-12-20 00:24:39 UTC,research,CC-BY-NC,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9338222222, 47.4493333333)"
Androsace nivalis,2024-07-25 14:13:00 -0700,Showing fruit.,"Kittitas County, WA, USA",,snow dwarf primrose,https://www.inaturalist.org/observations/231883531,https://inaturalist-open-data.s3.amazonaws.com/photos/411898108/medium.jpeg,jhorthos,231883531,snow dwarf primrose,Plantae,1414075,1,0,2024/07/25 2:13 PM,2024-07-25,2024-07-25 21:13:00 UTC,Pacific Time (US & Canada),5,5,,,false,,,1094975,James H. Thomas,2024-07-26 19:26:14 UTC,2024-08-05 17:34:39 UTC,research,CC0,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9687277778, 47.4610527778)"
Androsace nivalis,2024-07-13 14:19:49 -0700,,"Kittitas County, US-WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/229201899,https://inaturalist-open-data.s3.amazonaws.com/photos/406825388/medium.jpeg,mylodon,229201899,snow dwarf primrose,Plantae,1414075,1,0,2024-07-13 14:19:49,2024-07-13,2024-07-13 21:19:49 UTC,Pacific Time (US & Canada),3,3,,,false,,,3352889,,2024-07-14 06:55:41 UTC,2024-07-23 18:36:21 UTC,research,CC-BY-NC,NA,2,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9057343, 47.42102025)"
Androsace nivalis,2024-07-07 06:04:33 -0700,,"Okanogan - Wenatchee National Forest, Cle Elum, WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/227906879,https://inaturalist-open-data.s3.amazonaws.com/photos/404365720/medium.jpg,askrenm,227906879,snow dwarf primrose,Plantae,1414075,1,0,2024-07-07 06:04:33-07:00,2024-07-07,2024-07-07 13:04:33 UTC,Pacific Time (US & Canada),4,4,,,false,,,3090045,,2024-07-08 00:10:08 UTC,2024-07-24 08:19:52 UTC,research,CC-BY-NC,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9312216667, 47.4442633333)"
Androsace nivalis,2024-06-29 09:57:41 -0700,,"Okanogan - Wenatchee National Forest, Ronald, WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/227033757,https://inaturalist-open-data.s3.amazonaws.com/photos/402718331/medium.jpg,evernia648,227033757,snow dwarf primrose,Plantae,1414075,1,0,2024-06-29 09:57:41-07:00,2024-06-29,2024-06-29 16:57:41 UTC,Pacific Time (US & Canada),4,4,,,false,,,1492397,,2024-07-04 04:12:51 UTC,2024-07-05 02:24:29 UTC,research,CC-BY-NC,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9566716667, 47.4514666667)"
Androsace nivalis,2024-07-02 12:50:00 -0700,,"Kittitas County, WA, USA",,snow dwarf primrose,https://www.inaturalist.org/observations/226887182,https://inaturalist-open-data.s3.amazonaws.com/photos/402439742/medium.jpeg,jhorthos,226887182,snow dwarf primrose,Plantae,1414075,2,0,2024/07/02 12:50 PM,2024-07-02,2024-07-02 19:50:00 UTC,Pacific Time (US & Canada),4,4,,,false,,,1094975,James H. Thomas,2024-07-03 13:36:20 UTC,2024-07-05 05:05:05 UTC,research,CC0,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9310833333, 47.4444444444)"
Androsace nivalis,2024-06-23 16:42:24 -0700,,"Okanogan - Wenatchee National Forest, Ronald, WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/224937581,https://inaturalist-open-data.s3.amazonaws.com/photos/398734987/medium.jpg,cascadecat,224937581,snow dwarf primrose,Plantae,1414075,1,0,2024-06-23 16:42:24-07:00,2024-06-23,2024-06-23 23:42:24 UTC,Pacific Time (US & Canada),4,4,,,false,,,1505543,,2024-06-24 18:40:15 UTC,2024-07-22 13:27:28 UTC,research,CC-BY-NC,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9765783333, 47.45698)"
