OccurrenceID,GUID,Herbarium,Accession,Family,Accepted Name,Specimen Notes,Phenology,Collector,Day Collected,Month Collected,Year Collected,State or Province,County,Locality,Site Description,Verbatim Coordinates,Decimal Latitude,Decimal Longitude,Valid LatLng,Geodetic Datum,Coordinate Uncertainty in Meters,Georeferenced By,Georeference Sources,Georeference Remarks
3778131,e884a15e-a94b-444a-b0a2-ca5117cc60a4,WTU,,Asteraceae,Chaenactis thompsonii,"Common throughout area; stems lax, multiple from base; perennial.",Flowers,Payton Danosky,10,7,2024,Washington,Kittitas,"Okanogan-Wenatchee National Forest. Wenatchee Mountains, Small Fortune Peak summit area.","Phlox diffusa, Chaenactis thompsonii, and Packera streptanthifolia common. Serpentine and other ultramafic rocks primary geological influences.","47.46345° N,  120.96522° W",47.46345,-120.96522,Y,WGS 84,100,,GPS,
3551691,ca4b3e86-c2f0-4669-8535-d4687699a408,WTU,428522,Asteraceae,Chaenactis thompsonii,Scattered on east-facing slope; no plants flowering.,Vegetative,David Giblin,7,7,2022,Washington,Kittitas,"Okanogan-Wenatchee National Forest. Alpine Lakes Wilderness, Iron Peak Summit Area, 200 m W of summit along ridgeline.¶","Alpine area, broken rock, shale, talis; common species - Anemone drummondii, Sabulina nuttalli, Erigeron compositus; 2 distinct types of rock.","47.41512° N,  120.90057° W",47.41512,-120.90057,Y,WGS 84,200,,Digital map,
3552272,7dcd675f-5d1e-4162-a8e4-7504c9b21def,WTU,428554,Asteraceae,Chaenactis thompsonii,Locally abundant on east facing slopes; plants in bud; stems lax.,Vegetative,Brielle Canares,20,7,2022,Washington,Kittitas,Okanogan-Wenatchee National Forest; Bean Creek Basin; Judi's Peak.,"Summit area and 50m radius in all directions down to tree line on N-facing slope; 50m along E-W ridgeline; common species Sabulina nuttalli, Heuchera cylindrica, Elymus elymoides, and Aspidotis densa; rock substrate apparently ultramafic.","47.41136° N,  120.8701° W",47.41136,-120.8701,Y,WGS 84,165,David Giblin,Digital Map,
4159221,cd67ed40-b25a-4d13-b890-c483af82d261,WS,,Asteraceae,Chaenactis thompsonii,Highly browsed. 20 plants observed. Widely scattered on upper slope amid bedrock. Https://intermountainbiota.org/portal/collections/individual/index.php?occid=31112756.,Vegetative,Walter Fertig,19,6,2022,Washington,Kittitas,"East Cascades ecoregion: Wenatchee Mountains, west slope of Iron Mountain south of Iron Mountain Trail and north of Eldorado Creek, east of DeRoux Campground. T22N R15E S11 SE4 NW4.","Steep west and southwest-facing slope of serpentine talus and bedrock with scattered Pinus ponderosa, Pseudotsuga menziesii, and Pinus albicaulis. Veg cover 10-20% or less.",,47.4158,-120.9283,Y,WGS84,,Fertig,,
3498766,06b0dd48-4f76-4a39-8992-980a7a5120b8,WTU,425709,Asteraceae,Chaenactis thompsonii,"White/pink corollas, uncommon on south facing slope.",Flowers,Ava Kloss-Schmidt,6,7,2021,Washington,Kittitas,"Okanagon-Wenatche National Forest, Earl Peak.","Exposed ridge line and summit area with mixed geology: potentilla tweedy, erigeron compositus, polystichum sp., white bark pine.","47.40994° N,  120.64286° W",47.409564,-120.843697,Y,WGS 84,100,Jim Duemmel,GeoLocate,
3500478,296a0d09-ee3f-4a79-b69c-4a6bad9eee4c,WTU,425691,Asteraceae,Chaenactis thompsonii,,Flowers,David Giblin,7,7,2021,Washington,Kittitas,Okanogan-Wenatchee National Forest. Navaho Peak summit area.  On southwest-facing slope east of the saddle at the ridgeline and well below the summit.,"Rocky, exposed summit and adjacent slopes with Eriogonum ovalifolium and Polemonium pulcherrimum common with Pinus albicaulis scattered.","47.42308° N,  120.80374° W",47.419944,-120.815155,Y,WGS 84,100,David Giblin,Digital Map,
3438747,4a2b2dc6-d105-4f00-8571-645a8219debe,WTU,427889,Asteraceae,Chaenactis thompsonii,Locally common along trail for approximately 200 meters; plants with lax stems; involucres dark pink-purple; disk flowers light pink-purple.,Flowers,David Giblin,21,6,2020,Washington,Kittitas,"Okanogan-Wenatchee National Forest.  North Fork Teanaway River drainage. Johnson Creek-Medra Pass Trail.  Approximately 3 kms from trailhead.  First open slope encountered, north side of trail.","South-facing gravelly slope with bare rock outcroppings.  Sedum lanceolatum, Myriopteris gracillima, Cryptogramma cascadensis, and Eriogonum compositum common.","47.3864° N,  120.9175° W",47.3864,-120.9175,Y,WGS 84,50,David Giblin,Digital map,
3503274,24c7059e-e40f-4407-905c-de4a646138a1,WTU,425630,Asteraceae,Chaenactis thompsonii,,,Richard G. Olmstead,1,7,2020,Washington,Kittitas,Okanogan Wenatchee National Forest. Way Creek Trail at upper end of Way Creek basin. [County name on label is incorrect].,,"47.357747° N,  120.922438° W",47.357747,-120.922438,Y,,100,,,
3278522,e0e11da5-a0a2-4cce-a7a0-b6f770373972,WTU,425292,Asteraceae,Chaenactis thompsonii,Flowers light pink; plants low and spreading; uncommon.,Flowers,David Giblin,18,6,2013,Washington,Yakima,Highway 410 at milepost 87. North side of road.,South-facing rocky outcropping with some wet seeps; Pseudotsuga menziesii and Lupinus latifolius common. ,"46.97337° N,  121.19798° W",46.97337,-121.19798,Y,WGS 84,100,,GPS,
2801417,75d77faa-52a6-455e-b14f-d1f9badef53c,WTU,431823,Asteraceae,Chaenactis thompsonii,"Stems sprawling, decumbent at base, from a much-branched caudex; leaves once-pinnate to weakly bipinnate; flowers pink; plants scattered in scree.  This form has been called C. ramosa; plants are growing mixed with more typical C. douglasii (Legler 2776).",Flowers and Fruits,Ben Legler,11,6,2005,Washington,Chelan,"Along Forest Service Road 7224 0.5 road miles from junction with hwy 97, on southwest side of Tronson Ridge.",Loose scree and soil above road in dry conifer forest.,47° 22' 54 N,47.381667,-120.589167,Y,NAD 27,100,100,GPS,
155818,1a4298b0-48c5-4911-b615-d1dfda30f1a2,WTU,364399,Asteraceae,Chaenactis thompsonii,,Fruits,Florence Caplow,10,6,2004,Washington,Chelan,Tumwater Mountain above Joland Lake.,"Steep, loose granitic sand over bedrock.",47° 37' 39 N,47.6275,-120.7225,Y,,200,200,,
4253242,{578C38F9-4B83-4B8A-B958-0BFE07A45B31},OSC,,Asteraceae,Chaenactis thompsonii,Https://oregonflora.org/collections/individual/index.php?occid=1009802.,flowering,Darryl Ianni,23,7,2001,Washington,Kittitas,"Wenatchee National Forest, Naches Ranger District: From Hwy 410, take the little Naches River Rd (FR 19) to FR 1905, 1905-763, 1905-764 to pull-out at apex after 5.1 miles on 764. Walk a little over 1/2 mile to site on ridge.","Very steep lithosol over bedrock; soil is gravelly sand, 1-3"" deep", Happlopappus,47.105225,-121.184771,Y,NAD83,,,,
17863,4ed3b8cb-d145-4a9c-9bf7-68a894893d2c,WTU,319043,Asteraceae,Chaenactis thompsonii,,Flowers & Fruits,A. R. Kruckeberg,7,8,1986,Washington,Kittitas,"Long's Pass/Ingall's Lake trail, Upper North Fork Teanaway River area.",Upper west-facing slopes on serpentine.,,47.452208,-120.935462,Y,WGS 84,800,Jim Duemmel,Digital Map,
146813,91d92313-8b27-4766-8853-e8e2f1e26b91,WTU,286962,Asteraceae,Chaenactis thompsonii,,Flowers,Patrick Elvander,26,7,1980,Washington,Kittitas,Above the Beverly-Turnpike trail about 3-4 km from Beverly Creek; Wenatchee Mountains.,Steep west serpentine talus slope 100-300m.,T22N R15E S7,47.4114,-120.87039,Y,WGS 84,5000,Jim Duemmel,Digital Map,Very difficult to match TRS with Locality description.
146820,02db7e51-c0ff-4ea9-9402-8cdd2885d835,WTU,286963,Asteraceae,Chaenactis thompsonii,,Flowers,Patrick Elvander,27,7,1980,Washington,Kittitas,"Wenatchee Mountains; just northeast of DeRoux horse camp along the north Fork Teanaway River, about 48 km north of Cle Elum.",Very steep west slope. Serpentine-peridotite talus with Eriogonum compositum.,,47.41766,-120.93666,Y,WGS 84,500,Jim Duemmel,Digital Map,
146828,c9791609-1905-41be-832d-180cc0f1946b,WTU,313387,Asteraceae,Chaenactis thompsonii,N=6.,Flowers,A. R. Kruckeberg,6,7,1964,Washington,Kittitas,"Bordering Eldorado Creek, above De Roux Forest Camp and North Fork Teanaway River.",On barren serpentine talus.,,47.415137,-120.935713,Y,WGS 84,3000,Jim Duemmel,Digital Map,
146809,f06eb1ff-a105-49c3-92a6-8b16a42d5c92,WTU,190349,Asteraceae,Chaenactis thompsonii,,Flowers,A. R. Kruckeberg,14,8,1955,Washington,Kittitas,"De Roux Forest Camp, upper north fork Teanaway River, Wenatchee National Forest. Above camp.","On steep sterile, barren serpentinized slopes.",,47.417428,-120.937862,Y,WGS 84,1000,Jim Duemmel,Digital Map,
4260345,{068DA4D7-55D8-41BB-92DE-7B8020B25C4B},OSC,,Asteraceae,Chaenactis thompsonii,Https://oregonflora.org/collections/individual/index.php?occid=1018078.,flowering,Arthur R. Kruckeberg,19,8,1952,Washington,Kittitas,"Just north and below Mt. Lilian, along trail to summit; Wenatchee Mts.",On high rocky promontory of sedimentary soil.,,,,,,,,,
17862,81de9885-8c20-42fc-83db-181427603c5f,WTU,144687,Asteraceae,Chaenactis thompsonii,,Flowers & Fruits,J. William Thompson,,8,1951,Washington,Chelan,"High ridge between Fourth and Hardscrabble Creeks, Wenatchee Mountains.",Hawkins formation.,,47.429451,-120.857094,Y,WGS 84,1000,Jim Duemmel,Digital Map,
146817,b7c35df1-3f2b-486d-92f0-c0ffbd9a96b8,WTU,144686,Asteraceae,Chaenactis thompsonii,,Flowers,J. William Thompson,,7,1950,Washington,Kittitas,At the head of Beverly Creek. Wenatchee National Forest.,"High ridge, growing in slick and slide serpentine, at exact spot.",,47.414405,-120.884055,Y,WGS 84,1000,Jim Duemmel,Digital Map,
146854,2736edc4-e3ab-46ef-be96-52a7c3e2305f,WTU,180918,Asteraceae,Chaenactis thompsonii,,Flowers,A. R. Kruckeberg,6,8,1950,Washington,Kittitas,"Along Iron Peak Trail, North Fork Teanaway River Watershed, Wenatchee Mountains.",On sterile serpentine slope.,,47.42108,-120.92147,Y,WGS 84,1200,Jim Duemmel,Digital Map,
146857,0f6d97ae-30ad-4380-872e-2e00038f9a48,WTU,181884,Asteraceae,Chaenactis thompsonii,,Flowers,A. R. Kruckeberg,5,8,1950,Washington,Kittitas,Above Eldorado Creek.,"On sterile, barren steep. Hillside with stunted douglas fir, yellow pine.",,47.413046,-120.936314,Y,WGS 84,5000,WTU Staff,GeoLocate,
146840,534ca43e-2811-414f-926a-93570f572f39,WTU,34286,Asteraceae,Chaenactis thompsonii,,Flowers,J. William Thompson,19,8,1935,Washington,Chelan,Three Brothers Peak.,Alpine slopes.,,47.434033,-120.757258,Y,WGS 84,2000,Jim Duemmel,Digital Map,
146850,42b0622a-49e7-4d6d-b9ec-f53ed4c7437c,WTU,4114JWT,Asteraceae,Chaenactis thompsonii,,Flowers,J. William Thompson,18,6,1934,Washington,Kittitas,Along Boulder Creek.,Serpentine rock slides.,,47.207938,-120.402164,Y,WGS 84,3000,Jim Duemmel,Digital Map,
146883,c0665c21-0ab8-48bb-a4a2-db94c6122bd7,WTU,4115JWT,Asteraceae,Chaenactis thompsonii,,Flowers,J. William Thompson,21,6,1934,Washington,Chelan,At base of Three Brothers.,Rock slides.,,47.43891,-120.74198,Y,WGS84,5000,WTU Staff,Georeferenced,
4070722,2afb244e-207b-4b5f-848d-650618a838a8,WS,,Asteraceae,Chaenactis thompsonii,Identified as Chaenactis nevadensis var. mainsiana (Nels. & Macbride) Stockwell in Contr. Dudley Herb. 3: 112. 1940. Https://intermountainbiota.org/portal/collections/individual/index.php?occid=30855449.,Flowering & Fruiting,J. William Thompson,18,6,1934,Washington,Kittitas,"Along Bowlder Creek [Boulder Creek, Wenatchee Mountains].",Rocky serpentine slopes.,,47.207938,-120.40216,Y,WGS84,,,,
146885,a035899d-710f-4abd-a1a5-c1fdcde07e75,WTU,7287JWT,Asteraceae,Chaenactis thompsonii,,Flowers,J. William Thompson,27,7,1931,Washington,Chelan,"Iron Mountain, Wenatchee Mountains.",Open rocky crest.,,47.41222,-120.71417,Y,WGS 84,2000,WTU Staff,GeoLocate,
146881,bf47a9d5-a446-420a-93c0-76ab5e444d9d,WTU,7542JWT,Asteraceae,Chaenactis thompsonii,,Flowers,J. William Thompson,20,8,1930,Washington,Kittitas,"At head of Beverly Creek, Wenatchee Mountains.",Slate talus slopes.,,47.410339,-120.883197,Y,WGS 84,5000,Jim Duemmel,Digital Map,
3569925,4017119a-6465-4745-8fd4-df7ed68661ca,WTU,457121,Boraginaceae,Oreocarya thompsonii,"White flowers; hispid hairs; rare, on S facing slopes. Flowers fully open.",Flowers,Nick Gjording,12,7,2023,Washington,Kittitas,Okanogan-Wenatchee National Forest.  Iron Peak summit area.,"Rocky and gravelly ridgeline with moderately developed soils.  Phlox hendersonii; Eriogonum umbellatum, and Eriogonum pyrolifolium common.","47.41538° N,  120.90094° W",47.41538,-120.90094,Y,WGS 84,17,,GPS,
3552276,b8c34ed2-cd77-4d09-b2b3-30dbfc1931e8,WTU,428545,Boraginaceae,Oreocarya thompsonii,Locally abundant in saddle and along ridgeline; corollas white; foliage silvery-grey.,Flowers,Brielle Cañares,20,7,2022,Washington,Kittitas,Wenatchee National Forest. Bean Creek Basin. Judi's Peak.,"Summit area and 50 m radius in all direction on N-facing slope; 50 m along E-W ridgeline; common species Sabulina nuttalii, Heuchera cylindrica, Elymus elmoides and Aspidotis densa; rock substrate apparently ultramafic.","47.41136° N,  120.8701° W",47.41136,-120.8701,Y,WGS 84,300,David Giblin,Digital Map,
