OccurrenceID,GUID,Herbarium,Collection,Dataset,Accession,Catalog,Barcode,Other Catalog Numbers,Information Withheld,Basis of Record,Family,Accepted Name,Scientific Name,Notho Genus,Genus,Notho Species,Specific Epithet,Specific Authors,Infraspecific Rank,Notho Infraspecies,Infraspecific Epithet,Infraspecific Authors,Hybrid Symbol,2nd Notho Genus,2nd Genus,2nd Notho Species,2nd Specific Epithet,2nd Specific Authors,2nd Infraspecific Rank,2nd Notho Infraspecies,2nd Infraspecific Epithet,2nd Infraspecific Authors,Cultivar,Name Qualifier,Qualifier Position,Type Specimen?,Type Status,Specimen Notes,Phenology,Origin,Cultivated?,Imaged?,Site Number,Collector,Collector Number,Other Collectors,Day Collected,Month Collected,Year Collected,Verbatim Collection Date,Country,State or Province,County,Locality,Site Description,Verbatim Elevation,Minimum Elevation in Meters,Maximum Elevation in Meters,Verbatim Coordinates,Decimal Latitude,Decimal Longitude,Valid LatLng,Geodetic Datum,Coordinate Uncertainty in Meters,Georeferenced By,Georeference Sources,Georeference Remarks,,,,,,,,,,,,,,,
3778131,e884a15e-a94b-444a-b0a2-ca5117cc60a4,WTU,Vascular Plants,,,,,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,"Common throughout area; stems lax, multiple from base; perennial.",Flowers,Native,N,N,,Payton Danosky,24-105,"Iris Dimpsey, Winston Hackett, Ted Alway, Adam Schneider, and David Giblin",10,7,2024,,U.S.A.,Washington,Kittitas,"Okanogan-Wenatchee National Forest. Wenatchee Mountains, Small Fortune Peak summit area.","Phlox diffusa, Chaenactis thompsonii, and Packera streptanthifolia common. Serpentine and other ultramafic rocks primary geological influences.",2010 m.,2010,,"47.46345° N,  120.96522° W",47.46345,-120.96522,Y,WGS 84,100,,GPS,,,,,,,,,,,,,,,,
3551691,ca4b3e86-c2f0-4669-8535-d4687699a408,WTU,Vascular Plants,,428522,,WTU-V-084332,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,Scattered on east-facing slope; no plants flowering.,Vegetative,Native,N,Y,,David Giblin,8771,"Brielle Canares, Samantha Lieberman, Sophia Ronan, Tony Cavalieri",7,7,2022,,U.S.A.,Washington,Kittitas,"Okanogan-Wenatchee National Forest. Alpine Lakes Wilderness, Iron Peak Summit Area, 200 m W of summit along ridgeline.¶","Alpine area, broken rock, shale, talis; common species - Anemone drummondii, Sabulina nuttalli, Erigeron compositus; 2 distinct types of rock.",1963 m.,1963,,"47.41512° N,  120.90057° W",47.41512,-120.90057,Y,WGS 84,200,,Digital map,,,,,,,,,,,,,,,,
3552272,7dcd675f-5d1e-4162-a8e4-7504c9b21def,WTU,Vascular Plants,,428554,,WTU-V-084364,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,Locally abundant on east facing slopes; plants in bud; stems lax.,Vegetative,Native,N,Y,,Brielle Cañares,22-50,"Sophia Ronan, David Giblin",20,7,2022,,U.S.A.,Washington,Kittitas,Okanogan-Wenatchee National Forest; Bean Creek Basin; Judi's Peak.,"Summit area and 50m radius in all directions down to tree line on N-facing slope; 50m along E-W ridgeline; common species Sabulina nuttalli, Heuchera cylindrica, Elymus elymoides, and Aspidotis densa; rock substrate apparently ultramafic.",1939 m.,1939,,"47.41136° N,  120.8701° W",47.41136,-120.8701,Y,WGS 84,165,David Giblin,Digital Map,,,,,,,,,,,,,,,,
4159221,cd67ed40-b25a-4d13-b890-c483af82d261,WS,,,,399843,,WS008424,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,Highly browsed. 20 plants observed. Widely scattered on upper slope amid bedrock. Https://intermountainbiota.org/portal/collections/individual/index.php?occid=31112756.,Vegetative,,N,Y,,Walter Fertig,s.n.,,19,6,2022,,United States,Washington,Kittitas,"East Cascades ecoregion: Wenatchee Mountains, west slope of Iron Mountain south of Iron Mountain Trail and north of Eldorado Creek, east of DeRoux Campground. T22N R15E S11 SE4 NW4.","Steep west and southwest-facing slope of serpentine talus and bedrock with scattered Pinus ponderosa, Pseudotsuga menziesii, and Pinus albicaulis. Veg cover 10-20% or less.",4800 ft,1463,,,47.4158,-120.9283,Y,WGS84,,Fertig,,,,,,,,,,,,,,,,,
3498766,06b0dd48-4f76-4a39-8992-980a7a5120b8,WTU,Vascular Plants,,425709,,WTU-V-070586,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,"White/pink corollas, uncommon on south facing slope.",Flowers,Native,N,Y,,Ava Kloss-Schmidt,21-88,"David Giblin, Leo Linder",6,7,2021,,U.S.A.,Washington,Kittitas,"Okanagon-Wenatche National Forest, Earl Peak.","Exposed ridge line and summit area with mixed geology: potentilla tweedy, erigeron compositus, polystichum sp., white bark pine.",2143 m.,2143,,"47.40994° N,  120.64286° W",47.409564,-120.843697,Y,WGS 84,100,Jim Duemmel,GeoLocate,,,,,,,,,,,,,,,,
3500478,296a0d09-ee3f-4a79-b69c-4a6bad9eee4c,WTU,Vascular Plants,,425691,,WTU-V-070566,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,,Flowers,Native,N,Y,,David Giblin,8323,"Ava Kloss Schmidt, Leo Linder",7,7,2021,,U.S.A.,Washington,Kittitas,Okanogan-Wenatchee National Forest. Navaho Peak summit area.  On southwest-facing slope east of the saddle at the ridgeline and well below the summit.,"Rocky, exposed summit and adjacent slopes with Eriogonum ovalifolium and Polemonium pulcherrimum common with Pinus albicaulis scattered.",2198 m.,2198,,"47.42308° N,  120.80374° W",47.419944,-120.815155,Y,WGS 84,100,David Giblin,Digital Map,,,,,,,,,,,,,,,,
3438747,4a2b2dc6-d105-4f00-8571-645a8219debe,WTU,Vascular Plants,,427889,,WTU-V-081222,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,Locally common along trail for approximately 200 meters; plants with lax stems; involucres dark pink-purple; disk flowers light pink-purple.,Flowers,Native,N,Y,,David Giblin,7421,Julie Monahan,21,6,2020,,U.S.A.,Washington,Kittitas,"Okanogan-Wenatchee National Forest.  North Fork Teanaway River drainage. Johnson Creek-Medra Pass Trail.  Approximately 3 kms from trailhead.  First open slope encountered, north side of trail.","South-facing gravelly slope with bare rock outcroppings.  Sedum lanceolatum, Myriopteris gracillima, Cryptogramma cascadensis, and Eriogonum compositum common.",1100 m.,1100,,"47.3864° N,  120.9175° W",47.3864,-120.9175,Y,WGS 84,50,David Giblin,Digital map,,,,,,,,,,,,,,,,
3503274,24c7059e-e40f-4407-905c-de4a646138a1,WTU,Vascular Plants,,425630,,WTU-V-093493,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,,,,N,Y,,Richard G. Olmstead,2020-15,,1,7,2020,,U.S.A.,Washington,Kittitas,Okanogan Wenatchee National Forest. Way Creek Trail at upper end of Way Creek basin. [County name on label is incorrect].,,4640 ft.,1415,,"47.357747° N,  120.922438° W",47.357747,-120.922438,Y,,100,,,,,,,,,,,,,,,,,,
3278522,e0e11da5-a0a2-4cce-a7a0-b6f770373972,WTU,Vascular Plants,,425292,,WTU-V-069227,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,Flowers light pink; plants low and spreading; uncommon.,Flowers,Native,N,Y,,David Giblin,4861,,18,6,2013,,U.S.A.,Washington,Yakima,Highway 410 at milepost 87. North side of road.,South-facing rocky outcropping with some wet seeps; Pseudotsuga menziesii and Lupinus latifolius common. ,902 m.,902,,"46.97337° N,  121.19798° W",46.97337,-121.19798,Y,WGS 84,100,,GPS,,,,,,,,,,,,,,,,
2801417,75d77faa-52a6-455e-b14f-d1f9badef53c,WTU,Vascular Plants,,431823,,WTU-V-095547,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,"Stems sprawling, decumbent at base, from a much-branched caudex; leaves once-pinnate to weakly bipinnate; flowers pink; plants scattered in scree.  This form has been called C. ramosa; plants are growing mixed with more typical C. douglasii (Legler 2776).",Flowers and Fruits,Native,N,Y,BSL-0420,Ben Legler,2774,,11,6,2005,,U.S.A.,Washington,Chelan,"Along Forest Service Road 7224 0.5 road miles from junction with hwy 97, on southwest side of Tronson Ridge.",Loose scree and soil above road in dry conifer forest.,3275 ft.,998,,47° 22' 54 N,"  120° 35' 21"" W""",47.381667,-120.589167,Y,NAD 27,100,,GPS,,,,,,,,,,,,,,,
