background,x,y,Soil-Type,Lithology,PC1,PC2,PC3,PC4,PC5,PC6
background,-121.90532,46.7945333333,2,6,-1.10699510574341,0.680188715457916,0.779280006885529,-2.36434006690979,0.67894572019577,0.354602992534637
background,-121.6984079804,46.766109156,6,9,-1.15593791007996,-0.7033531665802,1.70189273357391,-2.66339802742004,-0.194339781999588,0.240795508027077
background,-121.6983394604,46.7661221499,6,9,-1.1691220998764,-0.71785706281662,1.6858149766922,-2.77752161026001,-0.370491296052933,0.124974295496941
background,-121.6959733635,46.7640805223,6,9,-1.01324689388275,-0.806273639202118,2.18304085731506,2.179194688797,1.49595582485199,0.177063554525375
background,-121.736303266,46.7861839824,2,2,2.23856902122498,0.18481233716011,3.35867476463318,1.92150211334229,-1.15704214572906,0.482665300369263
background,-121.7279743036,46.7683165379,2,2,0.798687398433685,0.0948925465345383,2.71042037010193,-0.358517825603485,-1.52846932411194,-1.52965140342712
background,-121.6429008543,46.9027775652,4,3,-1.3629070520401,-1.78552627563477,-1.11006855964661,0.285780787467957,-1.10457348823547,1.74553966522217
background,-121.6430477053,46.9028756085,4,3,-1.33321750164032,-1.7645810842514,-0.956223130226135,1.66568970680237,-0.910463452339172,1.57408797740936
background,-121.6437651962,46.9002226474,4,8,-1.16942250728607,-1.78351664543152,-1.19013047218323,-1.52768337726593,-0.905436098575592,0.41654771566391
background,-121.643817164,46.9004091218,4,8,-0.92120099067688,-1.78747224807739,-1.04716193675995,-1.08172035217285,-1.17621755599976,-0.477583378553391
background,-121.644266434,46.9010040487,4,8,-0.793791353702545,-1.78344190120697,-0.968184649944305,-0.927763283252716,-1.15017580986023,0.731375455856323
background,-121.6462438926,46.9016159208,4,8,-1.23988342285156,-1.77877938747406,-1.29227602481842,-1.88782155513763,-0.644395530223846,0.867487370967865
background,-121.6458757594,46.9017547422,4,8,-1.24261140823364,-1.76750314235687,-1.04014754295349,0.00569483637809753,-0.835369110107422,0.153890714049339
background,-121.6433437541,46.9027122792,4,3,-1.32359445095062,-1.7828608751297,-0.988285839557648,1.09699249267578,-1.08364236354828,1.79151809215546
background,-121.6455914453,46.9178365752,2,3,0.932408630847931,-1.63390779495239,-1.31786918640137,1.57316648960114,-0.848012149333954,-1.27163088321686
background,-121.6434547305,46.9185050488,2,3,0.916892349720001,-1.62269520759583,-1.49301409721375,0.75667542219162,0.212930798530579,-0.896492898464203
background,-121.6425994411,46.9187221463,2,3,0.961252987384796,-1.70512843132019,-1.55287671089172,0.661492943763733,0.731038928031921,-0.414553046226501
background,-121.6327798739,46.9186944366,2,3,1.03947305679321,-1.83123207092285,-1.2858030796051,1.67981469631195,0.168984830379486,1.36578762531281
background,-121.6258644685,46.9185620713,2,6,0.952535510063171,-1.95659649372101,-1.58173334598541,-0.498323917388916,1.43618011474609,-0.586015343666077
background,-121.6337964311,46.9187283294,2,3,0.988325357437134,-1.82572209835052,-1.83877563476562,-1.55853021144867,0.845372378826141,-1.26564145088196
background,-121.729325,46.8027416667,6,9,4.41293525695801,0.0409249551594257,2.76762104034424,0.717101633548737,0.194174140691757,1.50040590763092
background,-121.5926666667,46.9286222222,2,3,-0.27435165643692,-2.10737609863281,-1.39439761638641,-0.150962889194489,-1.71448934078217,-1.53927111625671
background,-121.7325383333,46.7915366667,2,2,2.30881309509277,0.215366587042809,2.69755840301514,-2.09582710266113,-0.444062203168869,-0.787791550159454
background,-121.735695,46.796325,2,2,3.16975617408752,0.0885578840970993,2.95651149749756,0.725985527038574,-0.317856192588806,-1.33822071552277
background,-121.6986555556,46.7577055556,6,3,-0.387498050928116,-0.635140240192413,1.84894371032715,-1.56848084926605,-0.67611163854599,1.47236156463623
background,-121.7025916667,46.7637666667,6,9,-0.211895659565926,-0.385591268539429,2.47084498405457,2.0929388999939,0.775379776954651,-0.550145745277405
background,-121.5576388889,46.7557305556,6,6,-5.08376741409302,-3.77737975120544,1.65856873989105,-1.82289123535156,-0.698276519775391,1.06987428665161
background,-121.7306958063,46.7930178926,2,3,2.40137028694153,0.228764817118645,3.14636135101318,1.16718316078186,-0.684441983699799,-1.2131245136261
background,-121.7277908325,46.7908096313,2,3,2.01494431495667,0.311892658472061,3.17015624046326,-1.17581915855408,-0.764767527580261,-0.114674739539623
background,-121.5799333333,46.8934777778,4,2,-3.25010275840759,-3.52945518493652,-0.631814360618591,1.08715045452118,-1.42336893081665,0.739538133144379
background,-121.5797888889,46.8933638889,4,3,-3.24356865882874,-3.51361322402954,-0.805851995944977,-0.00855088513344526,-1.81632900238037,-1.49789214134216
background,-121.5800305556,46.8934972222,4,2,-3.24487733840942,-3.52626419067383,-0.7054563164711,0.579716980457306,-1.33121144771576,0.447834730148315
background,-121.6572127095,46.9120302161,2,9,0.59960550069809,-1.47188401222229,-1.33521854877472,1.14130830764771,-0.771879494190216,1.31568777561188
background,-121.6568444444,46.9118777778,2,9,0.44053041934967,-1.45176899433136,-1.50662446022034,0.635946571826935,-0.623344838619232,-0.883662164211273
background,-121.669975,46.9084444444,6,9,1.91674149036407,-1.23399639129639,-1.76355385780334,-1.6680920124054,1.03202033042908,-0.881350815296173
background,-121.6700972222,46.9084055556,6,9,1.85602307319641,-1.21182286739349,-1.26050388813019,1.6854852437973,0.407751470804214,-0.748983323574066
background,-121.6910638889,46.9056027778,6,9,2.93808841705322,-0.734396755695343,-1.20331954956055,0.152166858315468,0.67820018529892,-1.84519827365875
background,-121.7064527778,46.9029972222,6,9,3.58371996879578,-0.52740079164505,-0.770161390304565,0.264224171638489,-0.994872987270355,1.90425419807434
background,-121.6904888889,46.9063444444,6,9,2.90104222297668,-0.770683765411377,-1.37836885452271,-0.966926455497742,0.466828912496567,1.43703806400299
background,-121.7086555556,46.9022138889,6,9,3.87485837936401,-0.431023925542831,-1.08650994300842,-1.89940893650055,-0.960506439208984,-0.67080295085907
background,-121.7137916667,46.9036777778,6,9,4.37318992614746,-0.352996438741684,-1.0717910528183,0.246491104364395,1.93927383422852,1.2162834405899
background,-121.6922777778,46.9056861111,6,9,2.80826616287231,-0.772999048233032,-1.06980383396149,0.238131493330002,-0.269854515790939,1.35333454608917
background,-121.7115333333,46.9001611111,6,9,4.38688087463379,-0.416254907846451,-0.963664054870605,-1.05650043487549,-0.121353514492512,-1.56827044487
background,-121.7058416667,46.9034055556,6,9,3.55736494064331,-0.538779556751251,-0.641662180423737,1.70239365100861,-0.944846034049988,1.52723693847656
background,-121.7114805556,46.9009583333,6,9,4.27043008804321,-0.436670035123825,-0.69146466255188,0.686163723468781,-0.826154887676239,1.29726541042328
background,-121.7137972222,46.9025277778,6,9,4.40705060958862,-0.391534388065338,-1.15877425670624,-1.26142132282257,0.352770864963531,0.063820093870163
background,-121.7116305556,46.9002416667,6,9,4.36901617050171,-0.425102055072784,-1.01540803909302,-1.58060503005981,-0.375103026628494,-1.24116969108582
background,-121.7136472222,46.9036194444,6,9,4.37121486663818,-0.339703291654587,-0.946191847324371,1.22128117084503,1.91127812862396,0.356349766254425
background,-121.69165,46.9056722222,6,9,2.88763070106506,-0.764798164367676,-1.25640904903412,-0.660149276256561,0.0963337942957878,-0.707187175750732
background,-121.6904138889,46.9063944444,6,9,2.91643810272217,-0.769334673881531,-1.45802700519562,-1.53953635692596,0.385337829589844,1.17947840690613
background,-121.6895888889,46.9066777778,6,9,2.86199259757996,-0.787746667861938,-1.24929130077362,-0.179604813456535,0.0985971689224243,1.0126781463623
background,-121.6795583333,46.9105638889,2,9,2.14760971069336,-1.03428566455841,-1.80427932739258,-1.76234996318817,0.0745166018605232,-1.1360090970993
background,-121.6452111111,46.9175972222,2,3,0.92296314239502,-1.65046381950378,-1.38774573802948,1.13624227046967,-0.890297532081604,-1.01037180423737
background,-121.8132927115,46.7506265994,1,2,-4.73481702804565,-0.572624623775482,0.731451153755188,-1.70748674869537,-0.830169796943665,-0.123937003314495
background,-121.7797910941,46.7803240196,6,3,-1.51589608192444,0.0453854948282242,2.75912427902222,-1.20953369140625,-0.937809348106384,1.1203693151474
background,-121.5638116667,46.743095,6,6,-5.44516277313232,-3.77796506881714,2.34093189239502,2.11461067199707,-0.00638443604111671,0.0580198392271996
